Area Type,Area Name,Period,SOC Level,Standard Occupational Classification (SOC),Occupational Title,Base Quarter Employment Estimate,Projected Quarter Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
State,California,2023-2025,4,21-2021,"Directors, Religious Activities and Education",13000,13400,400,3.1,1110,1420,2930,29.91,62213,Bachelor's degree,Less than 5 years,None
State,California,2023-2025,4,21-2099,"Religious Workers, All Other",3300,3500,200,6.1,480,420,1100,22.85,47519,Bachelor's degree,None,None
State,California,2023-2025,2,23-0000,Legal Occupations,168900,173200,4300,2.5,9880,10770,24950,63.21,131476,N/A,N/A,N/A
State,California,2023-2025,3,23-1000,"Lawyers, Judges, and Related Workers",110100,113200,3100,2.8,5230,3410,11740,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,23-1011,Lawyers,102000,105000,3000,2.9,4810,3110,10920,87.71,0,Doctoral or professional degree,None,None
State,California,2023-2025,4,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",1700,1700,0,0.0,80,50,130,69.11,143740,Doctoral or professional degree,5 years or more,Short-term on-the-job training
State,California,2023-2025,4,23-1023,"Judges, Magistrate Judges, and Magistrates",1400,1500,100,7.1,70,40,210,107.00,0,Doctoral or professional degree,5 years or more,Short-term on-the-job training
State,California,2023-2025,3,23-2000,Legal Support Workers,58800,60000,1200,2.0,4650,7360,13210,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,23-2011,Paralegals and Legal Assistants,44900,45900,1000,2.2,3420,5760,10180,34.84,72472,Associate's degree,None,None
State,California,2023-2025,4,23-2093,"Title Examiners, Abstractors, and Searchers",4800,4800,0,0.0,390,510,900,37.38,77758,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,4,23-2099,"Legal Support Workers, All Other",9100,9200,100,1.1,840,1090,2030,27.44,57062,Associate's degree,None,None
State,California,2023-2025,2,25-0000,Educational Instruction and Library Occupations,1175800,1202100,26300,2.2,115740,108320,250360,31.51,65525,N/A,N/A,N/A
State,California,2023-2025,3,25-1000,Postsecondary Teachers,218900,224200,5300,2.4,19510,14950,39760,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,25-1011,"Business Teachers, Postsecondary",5100,5300,200,3.9,460,350,1010,0.00,121455,Doctoral or professional degree,None,None
State,California,2023-2025,4,25-1021,"Computer Science Teachers, Postsecondary",2400,2500,100,4.2,220,170,490,0.00,129545,Doctoral or professional degree,None,None
State,California,2023-2025,4,25-1022,"Mathematical Science Teachers, Postsecondary",3700,3800,100,2.7,330,260,690,0.00,114072,Doctoral or professional degree,None,None
State,California,2023-2025,4,25-1032,"Engineering Teachers, Postsecondary",2300,2400,100,4.3,210,160,470,0.00,130749,Doctoral or professional degree,None,None
State,California,2023-2025,4,25-1042,"Biological Science Teachers, Postsecondary",3100,3200,100,3.2,280,210,590,0.00,108205,Doctoral or professional degree,None,None
State,California,2023-2025,4,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",1100,1100,0,0.0,100,80,180,0.00,139659,Doctoral or professional degree,None,None
State,California,2023-2025,4,25-1052,"Chemistry Teachers, Postsecondary",1500,1500,0,0.0,130,100,230,0.00,108911,Doctoral or professional degree,None,None
State,California,2023-2025,4,25-1054,"Physics Teachers, Postsecondary",1000,1000,0,0.0,90,70,160,0.00,113771,Doctoral or professional degree,None,None
State,California,2023-2025,4,25-1065,"Political Science Teachers, Postsecondary",1100,1100,0,0.0,90,70,160,0.00,103916,Doctoral or professional degree,None,None
State,California,2023-2025,4,25-1066,"Psychology Teachers, Postsecondary",6500,6700,200,3.1,580,440,1220,0.00,87478,Doctoral or professional degree,None,None
State,California,2023-2025,4,25-1069,"Social Sciences Teachers, Postsecondary, All Other",1800,1800,0,0.0,160,120,280,0.00,120905,Doctoral or professional degree,None,None
State,California,2023-2025,4,25-1071,"Health Specialties Teachers, Postsecondary",8500,9000,500,5.9,770,590,1860,0.00,111279,Doctoral or professional degree,Less than 5 years,None
State,California,2023-2025,4,25-1072,"Nursing Instructors and Teachers, Postsecondary",5800,6100,300,5.2,530,400,1230,0.00,109368,Doctoral or professional degree,Less than 5 years,None
State,California,2023-2025,4,25-1081,"Education Teachers, Postsecondary",4100,4200,100,2.4,370,280,750,0.00,100926,Doctoral or professional degree,Less than 5 years,None
State,California,2023-2025,4,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",1300,1400,100,7.7,120,90,310,0.00,135890,Doctoral or professional degree,None,None
State,California,2023-2025,4,25-1112,"Law Teachers, Postsecondary",2000,2100,100,5.0,180,140,420,0.00,104705,Doctoral or professional degree,Less than 5 years,None
State,California,2023-2025,4,25-1121,"Art, Drama, and Music Teachers, Postsecondary",11300,11600,300,2.7,1010,780,2090,0.00,104477,Master's degree,None,None
State,California,2023-2025,4,25-1122,"Communications Teachers, Postsecondary",2500,2600,100,4.0,220,170,490,0.00,121113,Doctoral or professional degree,None,None
State,California,2023-2025,4,25-1123,"English Language and Literature Teachers, Postsecondary",4200,4300,100,2.4,370,280,750,0.00,106876,Doctoral or professional degree,None,None
State,California,2023-2025,4,25-1124,"Foreign Language and Literature Teachers, Postsecondary",1500,1500,0,0.0,130,100,230,0.00,106118,Doctoral or professional degree,None,None
State,California,2023-2025,4,25-1125,"History Teachers, Postsecondary",1100,1100,0,0.0,100,70,170,0.00,111061,Doctoral or professional degree,None,None
State,California,2023-2025,4,25-1126,"Philosophy and Religion Teachers, Postsecondary",2900,2900,0,0.0,260,200,460,0.00,97738,Doctoral or professional degree,None,None
State,California,2023-2025,4,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",1700,1800,100,5.9,150,120,370,0.00,124218,Doctoral or professional degree,None,None
State,California,2023-2025,4,25-1194,"Career/Technical Education Teachers, Postsecondary",9900,10100,200,2.0,880,680,1760,38.05,79150,Bachelor's degree,Less than 5 years,None
State,California,2023-2025,3,25-2000,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",448900,457700,8800,2.0,31240,33560,73600,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,25-2011,"Preschool Teachers, Except Special Education",64600,66900,2300,3.6,6020,7760,16080,19.49,40541,Associate's degree,None,None
State,California,2023-2025,4,25-2012,"Kindergarten Teachers, Except Special Education",8200,8400,200,2.4,760,980,1940,0.00,104924,Bachelor's degree,None,None
State,California,2023-2025,4,25-2021,"Elementary School Teachers, Except Special Education",175700,178600,2900,1.7,11900,11640,26440,0.00,96429,Bachelor's degree,None,None
State,California,2023-2025,4,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",43500,44200,700,1.6,2950,2880,6530,0.00,95879,Bachelor's degree,None,None
State,California,2023-2025,4,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",104900,106700,1800,1.7,6140,6830,14770,0.00,98921,Bachelor's degree,None,None
State,California,2023-2025,4,25-2032,"Career/Technical Education Teachers, Secondary School",3200,3200,0,0.0,190,210,400,0.00,99108,Bachelor's degree,Less than 5 years,None
State,California,2023-2025,4,25-2051,"Special Education Teachers, Preschool",1600,1600,0,0.0,110,110,220,0.00,65297,Bachelor's degree,None,None
State,California,2023-2025,4,25-2052,"Special Education Teachers, Kindergarten and Elementary School",19800,20200,400,2.0,1340,1320,3060,0.00,85297,Bachelor's degree,None,None
State,California,2023-2025,4,25-2057,"Special Education Teachers, Middle School",5100,5100,0,0.0,340,340,680,0.00,89648,Bachelor's degree,None,None
State,California,2023-2025,4,25-2058,"Special Education Teachers, Secondary School",13100,13300,200,1.5,890,880,1970,0.00,102867,Bachelor's degree,None,None
State,California,2023-2025,4,25-2059,"Special Education Teachers, All Other",9100,9300,200,2.2,620,610,1430,0.00,79690,Bachelor's degree,None,None
State,California,2023-2025,3,25-3000,Other Teachers and Instructors,239400,246600,7200,3.0,34660,30810,72670,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",3700,3700,0,0.0,460,420,880,42.11,87582,Bachelor's degree,None,None
State,California,2023-2025,4,25-3021,Self-Enrichment Teachers,54400,56900,2500,4.6,6940,6320,15760,23.57,49025,High school diploma or equivalent,Less than 5 years,None
State,California,2023-2025,4,25-3031,"Substitute Teachers, Short-Term",79500,81300,1800,2.3,10030,9130,20960,23.32,48505,Bachelor's degree,None,None
State,California,2023-2025,4,25-3041,Tutors,75200,77600,2400,3.2,13870,11900,28170,18.21,37872,"Some college, no degree",None,None
State,California,2023-2025,3,25-4000,"Librarians, Curators, and Archivists",25100,25400,300,1.2,3790,2650,6740,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,25-4011,Archivists,1300,1400,100,7.7,170,150,420,32.28,67156,Master's degree,None,None
State,California,2023-2025,4,25-4012,Curators,1400,1500,100,7.1,180,160,440,36.39,75681,Master's degree,None,None
State,California,2023-2025,4,25-4013,Museum Technicians and Conservators,1200,1300,100,8.3,150,140,390,28.78,59845,Bachelor's degree,None,None
State,California,2023-2025,4,25-4022,Librarians and Media Collections Specialists,10600,10800,200,1.9,1170,810,2180,39.35,81849,Master's degree,None,None
State,California,2023-2025,4,25-4031,Library Technicians,10600,10500,-100,-0.9,2120,1390,3410,23.18,48215,Postsecondary non-degree award,None,None
State,California,2023-2025,3,25-9000,Other Educational Instruction and Library Occupations,243600,248200,4600,1.9,26550,26360,57510,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,25-9031,Instructional Coordinators,18300,18800,500,2.7,1710,1460,3670,41.60,86522,Master's degree,5 years or more,None
State,California,2023-2025,4,25-9044,"Teaching Assistants, Postsecondary",20100,20500,400,2.0,2320,2410,5130,0.00,44684,Bachelor's degree,None,None
State,California,2023-2025,4,25-9045,"Teaching Assistants, Except Postsecondary",156000,158700,2700,1.7,17940,18610,39250,0.00,40271,"Some college, no degree",None,None
State,California,2023-2025,4,25-9099,"Educational Instruction and Library Workers, All Other",48900,49900,1000,2.0,4550,3870,9420,24.49,50935,Bachelor's degree,None,None
State,California,2023-2025,2,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",564800,581300,16500,2.9,46460,63530,126490,38.35,79762,N/A,N/A,N/A
State,California,2023-2025,3,27-1000,Art and Design Workers,199100,203100,4000,2.0,15960,20600,40560,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,27-1011,Art Directors,32800,33300,500,1.5,3020,3150,6670,65.15,135516,Bachelor's degree,5 years or more,None
State,California,2023-2025,4,27-1012,Craft Artists,1800,1900,100,5.6,170,170,440,43.43,90334,No formal educational credential,None,Long-term on-the-job training
State,California,2023-2025,4,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",5200,5400,200,3.8,480,500,1180,35.89,74643,Bachelor's degree,None,Long-term on-the-job training
State,California,2023-2025,4,27-1014,Special Effects Artists and Animators,45900,47400,1500,3.3,4270,4450,10220,64.75,134664,Bachelor's degree,None,None
State,California,2023-2025,4,27-1019,"Artists and Related Workers, All Other",2000,2100,100,5.0,190,200,490,52.80,109825,No formal educational credential,None,Long-term on-the-job training
State,California,2023-2025,4,27-1021,Commercial and Industrial Designers,6000,6100,100,1.7,270,540,910,43.24,89939,Bachelor's degree,None,None
State,California,2023-2025,4,27-1022,Fashion Designers,7300,7200,-100,-1.4,410,890,1200,41.05,85380,Bachelor's degree,None,None
State,California,2023-2025,4,27-1023,Floral Designers,5200,5100,-100,-1.9,650,530,1080,18.72,38952,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,4,27-1024,Graphic Designers,40900,41500,600,1.5,2350,4210,7160,35.68,74207,Bachelor's degree,None,None
State,California,2023-2025,4,27-1025,Interior Designers,13600,14100,500,3.7,1180,1270,2950,37.57,78153,Bachelor's degree,None,None
State,California,2023-2025,4,27-1026,Merchandise Displayers and Window Trimmers,20900,20900,0,0.0,2010,2860,4870,19.61,40779,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,27-1027,Set and Exhibit Designers,8500,8800,300,3.5,470,890,1660,39.92,83023,Bachelor's degree,None,None
State,California,2023-2025,4,27-1029,"Designers, All Other",9000,9200,200,2.2,500,940,1640,38.21,79482,Bachelor's degree,None,None
State,California,2023-2025,3,27-2000,"Entertainers and Performers, Sports and Related Workers",147400,154200,6800,4.6,14930,18820,40550,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,27-2011,Actors,27000,28300,1300,4.8,2950,3340,7590,16.40,0,"Some college, no degree",None,Long-term on-the-job training
State,California,2023-2025,4,27-2012,Producers and Directors,47800,49800,2000,4.2,2770,5190,9960,53.48,111237,Bachelor's degree,Less than 5 years,None
State,California,2023-2025,4,27-2022,Coaches and Scouts,33800,35700,1900,5.6,3810,4860,10570,0.00,48360,Bachelor's degree,None,None
State,California,2023-2025,4,27-2023,"Umpires, Referees, and Other Sports Officials",4400,4700,300,6.8,1200,870,2370,0.00,34580,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,4,27-2031,Dancers,4500,4800,300,6.7,550,890,1740,18.86,0,No formal educational credential,None,Long-term on-the-job training
State,California,2023-2025,4,27-2032,Choreographers,2800,2900,100,3.6,330,540,970,26.46,55037,High school diploma or equivalent,5 years or more,Long-term on-the-job training
State,California,2023-2025,4,27-2041,Music Directors and Composers,5100,5300,200,3.9,500,510,1210,44.96,93522,Bachelor's degree,Less than 5 years,None
State,California,2023-2025,4,27-2042,Musicians and Singers,14800,15300,500,3.4,2090,1760,4350,48.26,0,No formal educational credential,None,Long-term on-the-job training
State,California,2023-2025,4,27-2091,"Disc Jockeys, Except Radio",1600,1700,100,6.3,120,130,350,23.18,0,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",5400,5600,200,3.7,590,710,1500,22.67,0,No formal educational credential,None,Short-term on-the-job training
State,California,2023-2025,3,27-3000,Media and Communication Workers,130600,133300,2700,2.1,10130,14050,26880,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,27-3011,Broadcast Announcers and Radio Disc Jockeys,4800,4900,100,2.1,480,500,1080,0.00,0,Bachelor's degree,None,None
State,California,2023-2025,4,27-3023,"News Analysts, Reporters, and Journalists",7200,7400,200,2.8,640,940,1780,0.00,0,Bachelor's degree,None,None
State,California,2023-2025,4,27-3031,Public Relations Specialists,31100,31900,800,2.6,1510,3420,5730,37.75,78506,Bachelor's degree,None,None
State,California,2023-2025,4,27-3041,Editors,21300,21500,200,0.9,1980,2340,4520,47.57,98942,Bachelor's degree,Less than 5 years,None
State,California,2023-2025,4,27-3042,Technical Writers,5700,5700,0,0.0,330,590,920,50.22,104467,Bachelor's degree,Less than 5 years,Short-term on-the-job training
State,California,2023-2025,4,27-3043,Writers and Authors,34900,35700,800,2.3,3160,3670,7630,52.94,110105,Bachelor's degree,None,Long-term on-the-job training
State,California,2023-2025,4,27-3091,Interpreters and Translators,9000,9200,200,2.2,920,860,1980,30.64,63750,Bachelor's degree,None,None
State,California,2023-2025,4,27-3092,Court Reporters and Simultaneous Captioners,3300,3300,0,0.0,390,240,630,52.35,108880,Postsecondary non-degree award,None,Short-term on-the-job training
State,California,2023-2025,4,27-3099,"Media and Communication Workers, All Other",13300,13700,400,3.0,720,1490,2610,40.56,84373,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,3,27-4000,Media and Communication Equipment Workers,87800,90800,3000,3.4,5440,10050,18490,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,27-4011,Audio and Video Technicians,8900,9300,400,4.5,540,1060,2000,32.15,66875,Postsecondary non-degree award,None,Short-term on-the-job training
State,California,2023-2025,4,27-4012,Broadcast Technicians,16000,16600,600,3.8,970,1890,3460,0.00,0,Associate's degree,None,Short-term on-the-job training
State,California,2023-2025,4,27-4014,Sound Engineering Technicians,6200,6300,100,1.6,370,730,1200,36.84,76637,Postsecondary non-degree award,None,Short-term on-the-job training
State,California,2023-2025,4,27-4015,Lighting Technicians,3900,4000,100,2.6,240,460,800,40.48,84186,Postsecondary non-degree award,None,Short-term on-the-job training
State,California,2023-2025,4,27-4021,Photographers,18100,18400,300,1.7,1370,1840,3510,27.73,57664,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,4,27-4031,"Camera Operators, Television, Video, and Film",8700,9000,300,3.4,480,1020,1800,37.23,77447,Bachelor's degree,None,None
State,California,2023-2025,4,27-4032,Film and Video Editors,21300,22300,1000,4.7,1200,2510,4710,37.29,77550,Bachelor's degree,None,None
State,California,2023-2025,4,27-4099,"Media and Communication Equipment Workers, All Other",4700,4900,200,4.3,280,560,1040,32.09,66751,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,2,29-0000,Healthcare Practitioners and Technical Occupations,981300,1017800,36500,3.7,63380,47130,147010,52.77,109773,N/A,N/A,N/A
State,California,2023-2025,3,29-1000,Health Diagnosing or Treating Practitioners,664600,688200,23600,3.6,40130,24080,87810,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,29-1011,Chiropractors,3900,3900,0,0.0,230,60,290,39.43,82016,Doctoral or professional degree,None,None
State,California,2023-2025,4,29-1021,"Dentists, General",20200,20300,100,0.5,890,240,1230,0.00,0,Doctoral or professional degree,None,None
State,California,2023-2025,4,29-1023,Orthodontists,1200,1200,0,0.0,50,10,60,0.00,0,Doctoral or professional degree,None,Internship/residency
State,California,2023-2025,4,29-1031,Dietitians and Nutritionists,10600,11000,400,3.8,780,590,1770,40.07,83355,Bachelor's degree,None,Internship/residency
State,California,2023-2025,4,29-1041,Optometrists,8500,8700,200,2.4,410,100,710,62.70,130417,Doctoral or professional degree,None,None
State,California,2023-2025,4,29-1051,Pharmacists,33000,33800,800,2.4,1540,920,3260,77.80,161819,Doctoral or professional degree,None,None
State,California,2023-2025,4,29-1071,Physician Assistants,16100,17200,1100,6.8,730,910,2740,71.15,147998,Master's degree,None,None
State,California,2023-2025,4,29-1081,Podiatrists,1000,1000,0,0.0,50,10,60,87.36,0,Doctoral or professional degree,None,Internship/residency
State,California,2023-2025,4,29-1122,Occupational Therapists,13600,14200,600,4.4,810,690,2100,52.12,108392,Master's degree,None,None
State,California,2023-2025,4,29-1123,Physical Therapists,25900,27200,1300,5.0,1220,820,3340,54.03,112390,Doctoral or professional degree,None,None
State,California,2023-2025,4,29-1125,Recreational Therapists,1600,1700,100,6.3,130,110,340,41.81,86959,Bachelor's degree,None,None
State,California,2023-2025,4,29-1126,Respiratory Therapists,16300,17200,900,5.5,1030,620,2550,48.82,101528,Associate's degree,None,None
State,California,2023-2025,4,29-1127,Speech-Language Pathologists,18400,19400,1000,5.4,1020,970,2990,52.57,109337,Master's degree,None,Internship/residency
State,California,2023-2025,4,29-1131,Veterinarians,9100,9500,400,4.4,430,180,1010,62.17,129316,Doctoral or professional degree,None,None
State,California,2023-2025,4,29-1141,Registered Nurses,337200,347400,10200,3.0,22730,14080,47010,66.23,137759,Bachelor's degree,None,None
State,California,2023-2025,4,29-1151,Nurse Anesthetists,2200,2400,200,9.1,90,90,380,115.00,0,Master's degree,None,None
State,California,2023-2025,4,29-1171,Nurse Practitioners,20300,22800,2500,12.3,950,960,4410,78.46,163201,Master's degree,None,None
State,California,2023-2025,4,29-1181,Audiologists,1300,1400,100,7.7,80,50,230,53.46,111196,Doctoral or professional degree,None,None
State,California,2023-2025,4,29-1212,Cardiologists,2200,2300,100,4.5,90,30,220,0.00,0,Doctoral or professional degree,None,Internship/residency
State,California,2023-2025,4,29-1214,Emergency Medicine Physicians,1000,1000,0,0.0,40,10,50,115.00,0,Doctoral or professional degree,None,Internship/residency
State,California,2023-2025,4,29-1215,Family Medicine Physicians,10800,11300,500,4.6,450,130,1080,111.82,0,Doctoral or professional degree,None,Internship/residency
State,California,2023-2025,4,29-1216,General Internal Medicine Physicians,7900,8200,300,3.8,330,100,730,109.16,0,Doctoral or professional degree,None,Internship/residency
State,California,2023-2025,4,29-1217,Neurologists,1800,1900,100,5.6,80,20,200,103.38,0,Doctoral or professional degree,None,Internship/residency
State,California,2023-2025,4,29-1218,Obstetricians and Gynecologists,3200,3300,100,3.1,130,40,270,0.00,0,Doctoral or professional degree,None,Internship/residency
State,California,2023-2025,4,29-1221,"Pediatricians, General",4500,4700,200,4.4,190,60,450,107.42,0,Doctoral or professional degree,None,Internship/residency
State,California,2023-2025,4,29-1222,"Physicians, Pathologists",2500,2600,100,4.0,110,30,240,0.00,0,Doctoral or professional degree,None,Internship/residency
State,California,2023-2025,4,29-1223,Psychiatrists,6200,6500,300,4.8,260,80,640,0.00,0,Doctoral or professional degree,None,Internship/residency
State,California,2023-2025,4,29-1224,Radiologists,1500,1500,0,0.0,60,20,80,0.00,0,Doctoral or professional degree,None,Internship/residency
State,California,2023-2025,4,29-1229,"Physicians, All Other",23800,24700,900,3.8,990,290,2180,115.00,0,Doctoral or professional degree,None,Internship/residency
State,California,2023-2025,4,29-1241,"Ophthalmologists, Except Pediatric",2300,2400,100,4.3,80,30,210,0.00,0,Doctoral or professional degree,None,Internship/residency
State,California,2023-2025,4,29-1242,"Orthopedic Surgeons, Except Pediatric",4100,4300,200,4.9,150,50,400,0.00,0,Doctoral or professional degree,None,Internship/residency
State,California,2023-2025,4,29-1249,"Surgeons, All Other",2200,2300,100,4.5,80,30,210,97.79,0,Doctoral or professional degree,None,Internship/residency
State,California,2023-2025,4,29-1291,Acupuncturists,7700,7800,100,1.3,770,150,1020,37.84,78693,Master's degree,None,None
State,California,2023-2025,4,29-1292,Dental Hygienists,26400,26700,300,1.1,2280,1160,3740,53.91,112110,Associate's degree,None,None
State,California,2023-2025,3,29-2000,Health Technologists and Technicians,306000,318600,12600,4.1,22540,22460,57600,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,29-2010,Clinical Laboratory Technologists and Technicians,30000,31100,1100,3.7,2070,1810,4980,30.54,63531,Bachelor's degree,None,None
State,California,2023-2025,4,29-2031,Cardiovascular Technologists and Technicians,5100,5300,200,3.9,340,290,830,39.41,81974,Associate's degree,None,None
State,California,2023-2025,4,29-2032,Diagnostic Medical Sonographers,8600,9100,500,5.8,480,410,1390,53.55,111393,Associate's degree,None,None
State,California,2023-2025,4,29-2033,Nuclear Medicine Technologists,1500,1600,100,6.7,70,70,240,65.00,135204,Associate's degree,None,None
State,California,2023-2025,4,29-2034,Radiologic Technologists and Technicians,19500,20400,900,4.6,1220,860,2980,49.63,103210,Associate's degree,None,None
State,California,2023-2025,4,29-2035,Magnetic Resonance Imaging Technologists,3000,3200,200,6.7,190,140,530,53.56,111403,Associate's degree,Less than 5 years,None
State,California,2023-2025,4,29-2042,Emergency Medical Technicians,19500,20300,800,4.1,1020,1740,3560,18.64,38775,Postsecondary non-degree award,None,None
State,California,2023-2025,4,29-2043,Paramedics,5600,5800,200,3.6,230,280,710,30.65,63760,Postsecondary non-degree award,Less than 5 years,None
State,California,2023-2025,4,29-2051,Dietetic Technicians,3700,3900,200,5.4,390,420,1010,19.63,40821,Associate's degree,None,None
State,California,2023-2025,4,29-2052,Pharmacy Technicians,37800,38700,900,2.4,2990,3850,7740,23.99,49897,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,4,29-2053,Psychiatric Technicians,11300,11700,400,3.5,900,980,2280,31.09,64663,Postsecondary non-degree award,Less than 5 years,Short-term on-the-job training
State,California,2023-2025,4,29-2055,Surgical Technologists,11100,11500,400,3.6,680,660,1740,37.52,78038,Postsecondary non-degree award,None,None
State,California,2023-2025,4,29-2056,Veterinary Technologists and Technicians,10700,11100,400,3.7,750,1230,2380,23.90,49720,Associate's degree,None,None
State,California,2023-2025,4,29-2057,Ophthalmic Medical Technicians,4500,4700,200,4.4,470,510,1180,23.17,48183,Postsecondary non-degree award,None,None
State,California,2023-2025,4,29-2061,Licensed Practical and Licensed Vocational Nurses,78300,82200,3900,5.0,6500,5640,16040,33.00,68630,Postsecondary non-degree award,None,None
State,California,2023-2025,4,29-2072,Medical Records Specialists,21800,22800,1000,4.6,1680,1270,3950,28.41,59087,Postsecondary non-degree award,None,None
State,California,2023-2025,4,29-2081,"Opticians, Dispensing",8900,9100,200,2.2,740,740,1680,24.02,49949,High school diploma or equivalent,None,Long-term on-the-job training
State,California,2023-2025,4,29-2091,Orthotists and Prosthetists,1000,1000,0,0.0,70,60,130,42.04,87436,Master's degree,None,Internship/residency
State,California,2023-2025,4,29-2099,"Health Technologists and Technicians, All Other",23400,24200,800,3.4,1690,1470,3960,24.92,51828,Postsecondary non-degree award,None,None
State,California,2023-2025,3,29-9000,Other Healthcare Practitioners and Technical Occupations,10700,11100,400,3.7,720,590,1710,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,29-9021,Health Information Technologists and Medical Registrars,3200,3300,100,3.1,220,180,500,42.32,88028,Associate's degree,None,None
State,California,2023-2025,4,29-9091,Athletic Trainers,2300,2400,100,4.3,160,130,390,0.00,64258,Master's degree,None,None
State,California,2023-2025,4,29-9099,"Healthcare Practitioners and Technical Workers, All Other",4700,4800,100,2.1,310,260,670,32.54,67685,Postsecondary non-degree award,None,None
State,California,2023-2025,2,31-0000,Healthcare Support Occupations,1274900,1378900,104000,8.2,192610,189860,486470,16.86,35056,N/A,N/A,N/A
State,California,2023-2025,3,31-1100,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",990600,1083400,92800,9.4,162010,141150,395960,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,31-1120,Home Health and Personal Care Aides,878100,965600,87500,10.0,147500,123000,358000,15.63,32496,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,31-1131,Nursing Assistants,106400,111500,5100,4.8,13790,17060,35950,20.12,41850,Postsecondary non-degree award,None,None
State,California,2023-2025,4,31-1132,Orderlies,4500,4600,100,2.2,530,800,1430,23.23,48320,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,4,31-1133,Psychiatric Aides,1600,1700,100,6.3,200,300,600,23.76,49428,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,3,31-2000,Occupational Therapy and Physical Therapist Assistants and Aides,20200,21200,1000,5.0,2010,3620,6630,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,31-2011,Occupational Therapy Assistants,3100,3300,200,6.5,320,560,1080,40.28,83773,Associate's degree,None,None
State,California,2023-2025,4,31-2021,Physical Therapist Assistants,8400,8900,500,6.0,840,1510,2850,40.33,83888,Associate's degree,None,None
State,California,2023-2025,4,31-2022,Physical Therapist Aides,8300,8400,100,1.2,810,1460,2370,17.20,35777,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2023-2025,3,31-9000,Other Healthcare Support Occupations,264100,274300,10200,3.9,28590,45090,83880,0.00,0,N/A,N/A,N/A
State,California,2023-2025,4,31-9011,Massage Therapists,21100,22300,1200,5.7,2850,2950,7000,29.61,61584,Postsecondary non-degree award,None,None
State,California,2023-2025,4,31-9091,Dental Assistants,56200,56700,500,0.9,6280,9180,15960,23.20,48257,Postsecondary non-degree award,None,None
State,California,2023-2025,4,31-9092,Medical Assistants,116200,122900,6700,5.8,11220,19220,37140,22.43,46669,Postsecondary non-degree award,None,None
State,California,2023-2025,4,31-9093,Medical Equipment Preparers,8700,9000,300,3.4,990,1360,2650,30.25,62922,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2023-2025,4,31-9094,Medical Transcriptionists,7000,6800,-200,-2.9,860,1500,2160,16.51,34346,Postsecondary non-degree award,None,None
State,California,2023-2025,4,31-9095,Pharmacy Aides,8600,8700,100,1.2,1120,1940,3160,19.57,40700,High school diploma or equivalent,None,Short-term on-the-job training
